Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
FCA;Numéro FINESS d’inscription ePMSI;FINESS;9;1;9;;A;A;Gauche/Espace;;;
FCA;Type de prestation;TYPPR;2;10;11;;A;A;Gauche/Espace;'09;;
FCA;Numéro administratif local de séjour;NADL;20;12;31;;A;A;Gauche/Espace;;;
FCA;Date d'administration;DTADM;8;32;39;;A;A;Gauche/Espace;;;
FCA;Code UCD;CUCD;15;40;54;;A;A;Gauche/Espace;13 caractères à renseigner conseillé;;
FCA;Nombre administré éventuellement fractionnaire (7+3);NBADM;10;55;64;;A;A;Gauche/Espace;7+3;;7+3
FCA;Prix d'achat multiplié par le nombre administré (7+3);PXACH;10;65;74;;A;A;Gauche/Espace;7+3;;7+3
FCA;Validation initiale de la prescription par un centre de référence ou de compétence;VCR;1;75;75;;A;A;Gauche/Espace;1: oui, 2:Non;;
FCA;Filler;FLR76;30;76;105;;A;A;Gauche/Espace;Réservé à un usage futur;;
S:;MONO;;;;;;;;;;;
