Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
000;Type d’enregistrement;TYENR;3;1;3;; N; N;Droite/Zéro;Valeur ‘000’;;
000;Type d’émetteur;TYEM;2;4;5;;A;A;NA/NA;Non contrôlé;;
000;Numéro d’émetteur;NOEM;14;6;19;;N;N;Droite/Zéro;Valeur ‘0000000100000’;;
000;Programme émetteur;PREM;6;20;25;;A;A;NA/NA;Valeur ‘CODTIP’;;
000;Type de destinataire;TYDEST;2;26;27;;A;A;NA/NA;Valeur ‘CT’;;
000;Numéro de destinataire;NODEST;14;28;41;;N;N;NA/NA;Valeur ‘00000001000000’;;
000;Programme destinataire;PRDEST;6;42;47;;A;A;NA/NA;Valeur ‘NAX210’;;
000;Application - type d’échange;APP;2;48;49;;A;A;NA/NA;Valeur ‘NA’;;
000;Identification du fichier;IDFIC;3;50;52;;A;A;NA/NA;Valeur ‘TIP’;;
000;Date de création du fichier;DACRF;6;53;58;;N;D;Droite/Zéro;Sous la forme AAMMJJ;;
000;Informations NOEMIE;INFNOEM;24;59;82;;A;A;NA/NA;Inutilisé;;
000;Numéro chronologie;NOCHRO;5;83;87;;N;N;Droite/Zéro;Valeur > 00000;;
000;Type de fichier;TYFIC;1;88;88;;N;N;NA/NA;Valeur ‘0’ = mise à jour, ‘1’ = fichier en annule et remplace;;
000;Unité monétaire;UNIMON;1;89;89;;A;A;NA/NA;Valeur ‘F’ = Franc, ‘E’ = Euro;;
000;Numéro de version de norme;NVERN;4;90;93;;N;N;Droite/Zéro;;;
000;Zone inutilisée;ZI94;35;94;128;;A;A;NA/Espace;Initialisé à blanc;;
10101;Type d’enregistrement;TYENR;3;1;3;;N;N;Droite/Zéro;Valeur ‘101’;;
10101;Rubrique;RUB;2;4;5;;N;N;Droite/Zéro;Valeur ‘01’;;
10101;Séquence;SEQ;2;6;7;;N;N;Droite/Zéro;Valeur ‘01’;;
10101;Code référence LPP;CREF;13;8;20;;A;A;Gauche/Espace;#F12+1#code référence LPP + clé;;12+1
10101;Libellé réduit;LIBR;80;21;100;;A;A;Gauche/Espace;Traduction en clair du code LPP;;
10101;Numéros de référence médicale 1;NREF1;5;101;105;F;A;A;Gauche/Espace;Facultatif;;
10101;Numéros de référence médicale 2;NREF2;5;106;110;F;A;A;Gauche/Espace;Facultatif;;
10101;Numéros de référence médicale 3;NREF3;5;111;115;F;A;A;Gauche/Espace;Facultatif;;
10101;Numéros de référence médicale 4;NREF4;5;116;120;F;A;A;Gauche/Espace;Facultatif;;
10101;Numéros de référence médicale 5;NREF5;5;121;125;F;A;A;Gauche/Espace;Facultatif;;
10101;Inutilisé;ZI126;3;126;128;;A;A;NA/Espace;Initialisé à blanc;;
10102;Type d’enregistrement;TYENR;3;1;3;;N;N;Droite/Zéro;Valeur ‘101’;;
10102;Rubrique;RUB;2;4;5;;N;N;Droite/Zéro;Valeur ‘02’;;
10102;Séquence;SEQ;2;6;7;;N;N;Droite/Zéro;Valeur ‘01’;;
10102;Date fin de validité;DFVAL;8;8;15;F;N;D;Droite/Zéro;SSAAMMJJ – facultatif;;
10102;Age maximal;AGEMAX;3;16;18;F;N;N;Droite/Zéro;Facultatif;;
10102;Type de prestation fournie;TYPRF;1;19;19;;A;A;Gauche/Espace;A (achat), E (entretien), L (location), etc.…;;
10102;Indication médicale;INDMED;1;20;20;;A;A;NA/NA;O=Oui, N=Non;;
10102;Arborescence;NH1;6;21;26;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH2;6;27;32;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH3;6;33;38;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH4;6;39;44;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH5;6;45;50;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH6;6;51;56;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH7;6;57;62;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH8;6;63;68;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH9;6;69;74;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Arborescence;NH10;6;75;80;;N;N;Droite/Zéro;Niveau hiérarchique dans le classement LPP;;
10102;Niveau le plus bas dans l’arborescence;NORDCH;12;81;92;;N;N;Droite/Zéro;#F6+6#Place (n° ordre) dans le niveau hiérarchique du classement LPP;;6+6
10102;Code identifiant de prothèse;CIDP;4;93;96;;A;A;Gauche/Espace;Titre III uniquement;;
10102;Inutilisé;ZI97;32;97;128;;A;A;NA/Espace;Initialisé à blanc;;
11001;Type d’enregistrement;TYENR;3;1;3;;N;N;Droite/Zéro;Valeur ‘110’;;
11001;Rubrique;RUB;2;4;5;;N;N;Droite/Zéro;Valeur ‘01’;;
11001;Séquence;SEQ;2;6;7;;N;N;Droite/Zéro;Valeur ‘01’ à ‘99’;;
