Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RHS;Filler ;FLR1;10;1;10;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS groupé;VRHSG;3;11;13;O ;A;A;NA/NA ;M19;;
RHS;Numéro FINESS d’inscription ePMSI ;FINESS;9;14;22;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS ;VRHS;3;23;25;O ;A;A;NA/NA ;M09 ;;
RHS;Numéro de séjour SSR ;NSSR;7;26;32;O ;A;A;Gauche/Espace ;;;
RHS;Numéro administratif de séjour ;NADL;20;33;52;O ;A;A;Gauche/Espace ;;;
RHS;Version classification;GVC;2;53;54;O ;A;A;NA/NA ;;;
RHS;Groupage - CM;GCM;2;55;56;O ;A;A;NA/NA ;;;
RHS;Groupage - Code;GCD;2;57;58;O ;A;A;NA/NA ;;;
RHS;Groupage - Subdivision;GSU;1;59;59;O ;A;A;NA/NA ;;;
RHS;Groupage - Sévérité;GSV;1;60;60;O ;A;A;NA/NA ;;;
RHS;Groupage - Code retour;GCR;3;61;63;O ;A;A;NA/NA ;;;
RHS;Groupage - Indicateur d'erreur;GIE;1;64;64;O ;A;A;NA/NA ;;;
RHS;Date de début de séjour ;DDSEJ;8;65;72;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de fin de séjour ;DFSEJ;8;73;80;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de naissance ;DNAIS;8;81;88;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Sexe ;SEXE;1;89;89;O ;A;A;NA/NA ;1=homme, 2=femme ;;
RHS;Code postal du lieu de résidence ;CPRE;5;90;94;O ;A;A;NA/NA ;;;
RHS;Type d’hospitalisation ;TYHO;1;95;95;O ;A;A;NA/NA ;;;
RHS;Date d’entrée dans l'unité médicale ;DEUM;8;96;103;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode d’entrée dans l'unité médicale ;MEUM;1;104;104;O ;A;A;NA/NA ;;;
RHS;Provenance ;PROV;1;105;105;F ;A;A;NA/NA ;;;
RHS;Date de sortie de l'unité médicale ;DSUM;8;106;113;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode de sortie ;MSUM;1;114;114;F ;A;A;NA/NA ;;;
RHS;Destination ;DEST;1;115;115;F ;A;A;NA/NA ;;;
RHS;Numéro de la semaine ;NSEM;6;116;121;O ;N;N;Droite/Zéro ;semaine+Année ;;
RHS;Journées hors week-end ;JHWE;5;122;126;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Journées week-end ;JWE;2;127;128;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Numéro unité médicale ;NUM;4;129;132;O ;A;A;Gauche/Espace ;;;
RHS;Type d'autorisation de l'unité médicale ;TAUM;3;133;135;O ;A;A;Gauche/Espace ;;;
RHS;Date de l’intervention chirurgicale ;DIC;8;136;143;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Finalité principale de prise en charge ;FPP;8;144;151;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Manifestation morbide principale ;MMP;8;152;159;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Affection étiologique ;AE;8;160;167;F ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Dépendance à l’habillage° ;DHAB;1;168;168;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle -- Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon. ;;
RHS;Dépendance au déplacement° ;DDEP;1;169;169;F ;A;A;NA/NA ;;;
RHS;Dépendance à l’alimentation° ;DALI;1;170;170;F ;A;A;NA/NA ;;;
RHS;Dépendance à la continence° ;DCNT;1;171;171;F ;A;A;NA/NA ;;;
RHS;Dépendance au comportement° ;DCMP;1;172;172;F ;A;A;NA/NA ;;;
RHS;Dépendance à la relation° ;DREL;1;173;173;F ;A;A;NA/NA ;;;
RHS;Nombre de diagnostics associés dans ce RHS (n1) ;NDA;2;174;175;O ;N;N;Droite/Zéro ;00-99 ;DA;
RHS;Nombre d'actes CSARR dans ce RHS (n2) ;NCSA;3;176;178;O ;N;N;Droite/Zéro ;000-999 ;ACS;
RHS;Nombre d'actes CCAM dans ce RHS (n3) ;NCCA;2;179;180;O ;N;N;Droite/Zéro ;00-99 ;ACC;
RHS;Poursuite du même projet thérapeutique ;PPTH;1;181;181;F ;A;A;NA/NA ;1 : Oui, 2 : Non ;;
DA;DAS n°1 ;TDA;8;;;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
ACS;Code principal ;CACS;7;;;O ;A;A;Gauche/Espace ;CSARR ;;
ACS;Code supplémentaire « appareillage » ;CSAPP;3;;;F ;A;A;NA/NA ;obligatoire si acte appartient à la liste « appareillage » ;;
ACS;Code modulateur de lieu ;CML;2;;;F ;A;A;NA/NA ;;;
ACS;Code « modulateur de patient » n° 1 ;CMP1;2;;;F ;A;A;NA/NA ;;;
ACS;Code « modulateur de patient » n° 2 ;CMP2;2;;;F ;A;A;NA/NA ;;;
ACS;Code intervenant ;CINT;2;;;O ;A;A;Code intervenant du professionnel ayant la responsabilité de la réalisation de l’acte ;;;
ACS;Filler ;FI18;1;;;;A;A;NA/NA ;;;
ACS;Nombre de réalisations ;NREAL;2;;;O ;N;N;Droite/Zéro ;;;
ACS;Date de réalisation ;DR;8;;;F ;A;D;NA/NA ;;;
ACS;Nombre réel de patients;NRPA;2;;;O ;N;N;>=2 pour les actes de type « collectif » , =1 pour les actes de types pluri professionnels, >=1 pour les autres types d’actes;;;
ACS;Nombre d’intervenants ;NINT;2;;;F ;N;N;Obligatoire si acte appartient à la liste des actes pluriprofessionnels ;;;
ACS;Extension Documentaire ;XDOCU;2;;;F ;A;A;;;;
ACC;Date de réalisation ;DR;8;;;F ;N;D;NA/NA ;JJMMAAAA ;;
ACC;Code de l'acte ;CCCA;10;;;O ;A;A;NA/NA ;Code CCAM sur 7 caractères + extension sur 3 caractères commençant par ‘-‘ suivi de 2 chiffres ;;
ACC;Code de la phase ;PHAS;1;;;O ;A;A;NA/NA ;CCAM ;;
ACC;Code de l'activité ;ACTI;1;;;O ;A;A;NA/NA ;CCAM ;;
ACC;Extension documentaire ;XDOCU;1;;;F ;A;A;NA/NA ;CCAM ;;
ACC;Nombre de réalisations ;NREAL;2;;;O ;N;N;Droite/Zéro ;;;
S:;RHS1;;;;;;;;;;;
