Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RHS;Filler ;FLR1;10;1;10;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS groupé;VRHSG;3;11;13;O ;A;A;NA/NA ;M1C;;
RHS;Numéro FINESS d’inscription ePMSI ;FINESS;9;14;22;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS ;VRHS;3;23;25;O ;A;A;NA/NA ;M0C;;
RHS;Numéro de séjour SSR ;NSSR;7;26;32;O ;A;A;Gauche/Espace ;;;
RHS;Numéro administratif de séjour ;NADL;20;33;52;O ;A;A;Gauche/Espace ;;;
RHS;Version classification;GVC;2;53;54;O ;A;A;NA/NA ;;;
RHS;Groupage - CM;GCM;2;55;56;O ;A;A;NA/NA ;GME/GL/GR/GN/CM;;
RHS;Groupage - Code;GCD;2;57;58;O ;A;A;NA/NA ;GME/GL/GR/GN/Code;;
RHS;Groupage - NR;GNR;1;59;59;O ;A;A;NA/NA ;GME/GL/GR/NR;;
RHS;Groupage - NL;GNL;1;60;60;O ;A;A;NA/NA ;GME/GL/NL;;
RHS;Groupage - Sévérité;GSV;1;61;61;O ;A;A;NA/NA ;GME/Sévérité;;
RHS;Groupage - Code retour;GCR;3;62;64;O ;A;A;NA/NA ;;;
RHS;Groupage - Indicateur d'erreur;GIE;1;65;65;O ;A;A;NA/NA ;X=>erreur, blanc=> pas d’erreur;;
RHS;Date de début de séjour ;DDSEJ;8;66;73;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de fin de séjour ;DFSEJ;8;74;81;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de naissance ;DNAIS;8;82;89;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Sexe ;SEXE;1;90;90;O ;A;A;NA/NA ;1=homme, 2=femme ;;
RHS;Code postal du lieu de résidence ;CPRE;5;91;95;O ;A;A;NA/NA ;;;
RHS;Type d’hospitalisation ;TYHO;1;96;96;O ;A;A;NA/NA ;;;
RHS;Date d’entrée dans l'unité médicale ;DEUM;8;97;104;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode d’entrée dans l'unité médicale ;MEUM;1;105;105;O ;A;A;NA/NA ;;;
RHS;Provenance ;PROV;1;106;106;F ;A;A;NA/NA ;;;
RHS;Date de sortie de l'unité médicale ;DSUM;8;107;114;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode de sortie ;MSUM;1;115;115;F ;A;A;NA/NA ;;;
RHS;Destination ;DEST;1;116;116;F ;A;A;NA/NA ;;;
RHS;Numéro de la semaine ;NSEM;6;117;122;O ;N;N;Droite/Zéro ;semaine+Année ;;
RHS;Journées hors week-end ;JHWE;5;123;127;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Journées week-end ;JWE;2;128;129;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Numéro unité médicale ;NUM;4;130;133;O ;A;A;Gauche/Espace ;;;
RHS;Type d'autorisation de l'unité médicale ;TAUM;3;134;136;O ;A;A;Gauche/Espace ;;;
RHS;Date de l’intervention chirurgicale ;DIC;8;137;144;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Finalité principale de prise en charge ;FPP;8;145;152;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Manifestation morbide principale ;MMP;8;153;160;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Affection étiologique ;AE;8;161;168;F ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Dépendance à l’habillage° ou à la toilette;DHAB;1;169;169;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance au déplacement;DDEP;1;170;170;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance à l’alimentation;DALI;1;171;171;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance à la continence;DCNT;1;172;172;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance au comportement;DCMP;1;173;173;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance à la relation;DREL;1;174;174;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Nombre de diagnostics associés dans ce RHS (n1) ;NDA;2;175;176;O ;N;N;Droite/Zéro ;00-99 ;DA;
RHS;Nombre d'actes CSARR dans ce RHS (n2) ;NCSA;3;177;179;O ;N;N;Droite/Zéro ;000-999 ;ACS;
RHS;Nombre d'actes CCAM dans ce RHS (n3) ;NCCA;2;180;181;O ;N;N;Droite/Zéro ;00-99 ;ACC;
RHS;Poursuite du même projet thérapeutique ;PPTH;1;182;182;F ;A;A;NA/NA ;1 : Oui, 2 : Non ;;
RHS;Filler ;FLR182;1;183;183;F ;A;A;NA/NA ;Blancs;;
RHS;Lit identifié soins palliatifs (LISP);LISP;2;184;185;F ;A;A;NA/NA ;'08' ou espaces;;
RHS;Type d’unité spécifique;TUSP;2;186;187;O ;A;A;NA/NA ;"USP SSR: ""08"" , UCC : ""09"" , Unité EVC-EPR : ""10""";;
DA;DAS n°1 ;TDA;8;;;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
ACS;Code principal ;CACS;7;;;O ;A;A;Gauche/Espace ;CSARR ;;
ACS;Code supplémentaire « appareillage » ;CSAPP;3;;;F ;A;A;NA/NA ;obligatoire si acte appartient à la liste « appareillage » ;;
ACS;Code modulateur de lieu ;CML;2;;;F ;A;A;NA/NA ;;;
ACS;Code « modulateur de patient » n° 1 ;CMP1;2;;;F ;A;A;NA/NA ;;;
ACS;Code « modulateur de patient » n° 2 ;CMP2;2;;;F ;A;A;NA/NA ;;;
ACS;Code intervenant ;CINT;2;;;O ;A;A;Code intervenant du professionnel ayant la responsabilité de la réalisation de l’acte ;;;
ACS;Filler ;FI18;1;;;;A;A;NA/NA ;;;
ACS;Nombre de réalisations ;NREAL;2;;;O ;N;N;Droite/Zéro ;;;
ACS;Date de réalisation ;DR;8;;;O ;A;D;NA/NA ;;;
ACS;Nombre réel de patients;NRPA;2;;;O ;N;N;>=2 pour les actes de type « collectif » , =1 pour les actes de types pluri professionnels, >=1 pour les autres types d’actes;;;
ACS;Nombre d’intervenants ;NINT;2;;;F ;N;N;Obligatoire si acte appartient à la liste des actes pluriprofessionnels ;;;
ACS;Extension Documentaire ;XDOCU;2;;;F ;A;A;;;;
ACC;Date de réalisation ;DR;8;;;F ;N;D;NA/NA ;JJMMAAAA ;;
ACC;Code de l'acte ;CCCA;10;;;O ;A;A;NA/NA ;Code CCAM sur 7 caractères + extension sur 3 caractères commençant par ‘-‘ suivi de 2 chiffres, OBLIGATOIRE LORSQU'ELLE EXISTE;;
ACC;Code de la phase ;PHAS;1;;;O ;A;A;NA/NA ;CCAM ;;
ACC;Code de l'activité ;ACTI;1;;;O ;A;A;NA/NA ;CCAM ;;
ACC;Extension documentaire ;XDOCU;1;;;F ;A;A;NA/NA ;CCAM ;;
ACC;Nombre de réalisations ;NREAL;2;;;O ;N;N;Droite/Zéro ;;;
S:;RHS1;;;;;;;;;;;
