Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RHS;Filler ;FLR1;10;1;10;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS groupé;VRHSG;3;11;13;O ;A;A;NA/NA ;M1D;;
RHS;Numéro FINESS d’inscription ePMSI ;FINESS;9;14;22;O ;A;A;NA/NA ;;;
RHS;N° de version du format du RHS ;VRHS;3;23;25;O ;A;A;NA/NA ;M0D;;
RHS;Numéro de séjour SSR ;NSSR;7;26;32;O ;A;A;Gauche/Espace ;;;
RHS;Numéro administratif de séjour ;NADL;20;33;52;O ;A;A;Gauche/Espace ;;;
RHS;Version classification;GVC;2;53;54;O ;A;A;NA/NA ;;;
RHS;Groupage - CM;GCM;2;55;56;O ;A;A;NA/NA ;GME/GL/GR/GN/CM;;
RHS;Groupage - Code;GCD;2;57;58;O ;A;A;NA/NA ;GME/GL/GR/GN/Code;;
RHS;Groupage - NR;GNR;1;59;59;O ;A;A;NA/NA ;GME/GL/GR/NR;;
RHS;Groupage - NL;GNL;1;60;60;O ;A;A;NA/NA ;GME/GL/NL;;
RHS;Groupage - Sévérité;GSV;1;61;61;O ;A;A;NA/NA ;GME/Sévérité;;
RHS;Groupage - Code retour;GCR;3;62;64;O ;A;A;NA/NA ;;;
RHS;Groupage - Indicateur d'erreur;GIE;1;65;65;O ;A;A;NA/NA ;X=>erreur, blanc=> pas d’erreur;;
RHS;Date de début de séjour ;DDSEJ;8;66;73;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de fin de séjour ;DFSEJ;8;74;81;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Date de naissance ;DNAIS;8;82;89;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Sexe ;SEXE;1;90;90;O ;A;A;NA/NA ;1=homme, 2=femme ;;
RHS;Code postal du lieu de résidence ;CPRE;5;91;95;O ;A;A;NA/NA ;;;
RHS;Type d’hospitalisation ;TYHO;1;96;96;O ;A;A;NA/NA ;;;
RHS;Date d’entrée dans l'unité médicale ;DEUM;8;97;104;O ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode d’entrée dans l'unité médicale ;MEUM;1;105;105;O ;A;A;NA/NA ;;;
RHS;Provenance ;PROV;1;106;106;F ;A;A;NA/NA ;;;
RHS;Date de sortie de l'unité médicale ;DSUM;8;107;114;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Mode de sortie ;MSUM;1;115;115;F ;A;A;NA/NA ;;;
RHS;Destination ;DEST;1;116;116;F ;A;A;NA/NA ;;;
RHS;Numéro de la semaine ;NSEM;6;117;122;O ;N;N;Droite/Zéro ;semaine+Année ;;
RHS;Journées hors week-end ;JHWE;5;123;127;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Journées week-end ;JWE;2;128;129;O ;A;A;NA/NA ;0=absent 1=présent ;;
RHS;Numéro unité médicale ;NUM;4;130;133;O ;A;A;Gauche/Espace ;;;
RHS;Type d'autorisation de l'unité médicale ;TAUM;3;134;136;O ;A;A;Gauche/Espace ;;;
RHS;Date de l’intervention chirurgicale ;DIC;8;137;144;F ;N;D;NA/NA ;JJMMAAAA ;;
RHS;Finalité principale de prise en charge ;FPP;8;145;152;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Manifestation morbide principale ;MMP;8;153;160;O ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Affection étiologique ;AE;8;161;168;F ;A;A;Gauche/Espace ;OMS-CIM 10 ;;
RHS;Dépendance à l’habillage° ou à la toilette;DHAB;1;169;169;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
RHS;Dépendance au déplacement;DDEP;1;170;170;F ;A;A;NA/NA ;Obligatoire pour chaque RHS en hospitalisation partielle, Obligatoire pour le premier et le dernier RHS de la suite de RHS en hospitalisation complète, et toutes les 4 semaines à compter du 1er RHS de la suite, facultatif sinon.;;
