Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSA;Numéro FINESS e-PMSI ;FINESS;9;1;9;;;;;;;
RSA;Numéro de version du format du RSA ;VRSA;3;10;12;;;;;227;;
RSA;N° d'index du RSA ;NRSA;10;13;22;;;;;;;
RSA;"Numéro de version du format du ""RSS-groupé"" ";VFRSSG;3;23;25;;;;;;;
RSA;Numéro séquentiel de tarifs ;NSQT;3;26;28;;;;;;;
RSA;Groupage lu : Version de la classification ;GLVCL;2;29;30;;;;;;;
RSA;Groupage lu : CMD ;GLCMD;2;31;32;;;;;;;
RSA;Groupage lu : Type ;GLTYP;1;33;33;;;;;;;
RSA;Groupage lu : Numéro ;GLNUM;2;34;35;;;;;;;
RSA;Groupage lu : Complexité ;GLCPX;1;36;36;;;;;;;
RSA;Groupage lu : code-retour ;GLCRT;3;37;39;;;;;;;
RSA;Groupage GENRSA :Version de la classification ;GRVCL;2;40;41;;;;;;;
RSA;Groupage GENRSA : CMD ;GRCMD;2;42;43;;;;;;;
RSA;Groupage GENRSA : Type ;GRTYP;1;44;44;;;;;;;
RSA;Groupage GENRSA : Numéro ;GRNUM;2;45;46;;;;;;;
RSA;Groupage GENRSA : Complexité ;GRCPX;1;47;47;;;;;;;
RSA;Groupage GENRSA : code-retour ;GRCRT;3;48;50;;;;;;;
RSA;Nombre de RUM composant le RSS d'origine (NbRUM) ;NBRUM;2;51;52;;;;;;RU;
RSA;Age en années ;AGEA;3;53;55;;;;;en nombre d'années révolues : date d'entrée du séjour - date de naissance;;
RSA;Age en jours ;AGEJ;3;56;58;;;;;en nombre de jours (date d'entrée du séjour - date de naissance) pour les moins d'1 an;;
RSA;Sexe ;SEXE;1;59;59;;;;;;;
RSA;Mode d'entrée ;MEPMC;1;60;60;;;;;;;
RSA;Provenance ;PROV;1;61;61;;;;;;;
RSA;Mois de sortie du séjour;MSOR;2;62;63;;;;;;;
RSA;Année de sortie du séjour;ASOR;4;64;67;;;;;;;
RSA;Mode de sortie;MSPMC;1;68;68;;;;;;;
RSA;Destination ;DEST;1;69;69;;;;;;;
RSA;Type de séjour ;TYSEJ;1;70;70;;;;;dans le cadre d'une PIE : A si établissement demandeur, B si établissement prestataire;;
RSA;Durée du séjour;DUTSP;4;71;74;;;;;en nombre de nuits : date de sortie - date d'entrée;;
RSA;Code géographique de résidence ;CGRES;5;75;79;;;;;;;
RSA;Code postal;CPOST;5;80;84;;;;;;;
RSA;Poids d'entrée (en grammes) ;PEGR;4;85;88;;;;;en grammes, pour les bébés;;
RSA;Age gestationnel retenu pour le groupage ;AGRG;2;89;90;;;;;en nombre révolu de semaines d'aménorrhée;;
RSA;Délai de la date des dernières règles par rapport à la date d'entrée ;DDRDE;3;91;93;;;;;en nombre de jours : date d'entrée du séjour - date des dernières règles;;
RSA;Nombre de séances ;NBSE;2;94;95;;;;;;;
RSA;Numéro de GHS (du GHM GENRSA) ;NGHS;4;96;99;;;;;;;
RSA;Nombre de journées au-delà de la borne extrême haute ;NJBEH;4;100;103;;;;;;;
RSA;Type de séjour inférieur à la borne extrême basse ;NJBEB;1;104;104;;;;;;;
RSA;Nb journées EXB ;NJEXB;3;105;107;;;;;;;
RSA;Top Admission Maison de Naissance ;TADMM;1;108;108;;;;;0 : non, 1 : oui ;;
RSA;Top Radiation partielle Avastin ;TRPAV;1;109;109;;;;;0 : non, 1 : oui ;;
RSA;Filler;FLR110;1;110;110;;;;;;;
RSA;Top UHCD ;TUHCD;1;111;111;;;;;;;
RSA;Top GHS minoré ;TGHSM;1;112;112;;;;;0 : non, 1 : oui ;;
RSA;Confirmation du codage du séjour ;CCOSJ;1;113;113;;;;;1 : oui;;
RSA;Nombre d'autorisations d'unités médicales à portée globale valides (Nb_AutPGV) ;NAG;1;114;114;;;;;;AG;
RSA;Nombre de suppléments pour hémodialyse hors séances ;NSHHS;3;115;117;;;;;;;
RSA;Nombre de suppléments pour les entraînements à la dialyse péritonéale automatisée hors séances ;NSEDP;3;118;120;;;;;;;
RSA;Nombre de suppléments pour les entraînements à la dialyse péritonéale continue ambulatoire hors séances ;NSEDPC;3;121;123;;;;;;;
RSA;Nombre de suppléments pour les entraînements à l'hémodialyse hors séances ;NSEHHS;3;124;126;;;;;;;
RSA;Nombre d'actes menant dans le GHS 9615 ;NAG9615;3;127;129;;;;;9615(aphérèse sanguine) ;;
RSA;Nombre de suppléments radiothérapie pédiatrique ;NSRP;3;130;132;;;;;;;
RSA;Nombre de suppléments antepartum ;NSAP;3;133;135;;;;;;;
RSA;Nombre de zones de suppléments de radiothérapie (Nb_Rdth) ;NSR;1;136;136;;;;;;SR;
RSA;Top valves aortiques percutanées ;TVAP;1;137;137;;;;;1 si date sortie >=15/08/2012 + type autorisation UM 60 + acte pose, blanc sinon;;
RSA;Type de génération automatique du RSA ;TYGARSA;1;138;138;;;;;0 : pas de génération automatique, 1 : FFM, ATU, SE 2 : médecin salariés, 3 : dialyse;;
RSA;GHS si non prise en compte de l'innovation ;GHSNPCI;4;139;142;;;;;;;
RSA;Filler ;FI143;8;143;150;;;;;;;
RSA;Nombre de suppléments caisson hyperbare ;NSCH;3;151;153;;;;;;;
RSA;Type de prestation de prélèvement d'organe ;NPPORG;1;154;154;;;;;1, 2 ou 3 ;;
RSA;Nombre de suppléments pour REA (réanimation) ;NSREA;3;155;157;;;;;;;
RSA;Nombre de suppléments soins intensifs provenant de la réanimation ;NSSIR;3;158;160;;;;;;;
RSA;Nombre de suppléments pour STF (soins intensifs) ;NSSTF;3;161;163;;;;;;;
RSA;Nombre de suppléments pour SRC (surveillance continue) ;NSSRC;3;164;166;;;;;;;
RSA;Nombre de suppléments NN1 ;NSNN1;3;167;169;;;;;;;
RSA;Nombre de suppléments NN2 ;NSNN2;3;170;172;;;;;;;
RSA;Nombre de suppléments NN3 ;NSNN3;3;173;175;;;;;;;
RSA;Nombre de suppléments REP (réanimation pédiatrique) ;NSREP;3;176;178;;;;;;;
RSA;Passage dans un lit dédié de soins palliatifs ;PLSPAL;1;179;179;;;;;;;
RSA;Type de machine en radiothérapie ;TYMRT;1;180;180;;;;;;;
RSA;Type de dosimétrie ;TYDOSI;1;181;181;;;;;;;
RSA;Numéro d'innovation ;NINNOV;15;182;196;;;;;;;
RSA;Supplément défibrillateur cardiaque;SUPPDEFC;1;197;197;;;;;0 : non, 1 : oui;;
RSA;Conversion hospitalisation complète;CONVHC;1;198;198;;;;;1 : conversion en hospitalisation complète ou mixte après prise en charge en HP, 0 : pas de conversion, blanc : non concerné;;
RSA;Prise en charge RAAC;PECRAAC;1;199;199;;;;;1 : prise en charge RAAC, 0 : pas de prise en charge RAAC (réhabilitation améliorée après chirurgie);;
RSA;Séjour éligible au forfait diabète;SEJEFD;1;200;200;;;;;0: non, 1 : oui;;
RSA;Top eligibilité gradation ;TOPEG;1;201;201;;;;;1 : oui, 2: non, blanc: non concerné ;;
RSA;Contexte patient / Surveillance particulière ;CTXPATSP;1;202;202;;;;;1 : oui, 2 : non blanc: non renseigné ;;
RSA;Administration d'un produit de la RH ;ADMPRH;1;203;203;;;;;1 : oui, 2 : non blanc: non renseigné ;;
RSA;Rescrit tarifaire ;RESCRT;1;204;204;;;;;1 : oui, 2 : non blanc: non renseigné ;;
RSA;Catégorie du nombre d'interventions totales ;CATNIT;1;205;205;;;;;A : < à 3 interventions B : égale à 3 interventions C : > à 3 interventions blanc : non renseigné ;;
RSA;Non Programmé (NP);NPROG;1;206;206;;;;;"1 : non programmé, 2 : ""pas non programmé"", X : valeur non homogène entre les RUMs, blanc : non renseigné";;
RSA;Filler ;FI207;3;207;209;;;;;;;
RSA;Numéro séquentiel du RUM ayant fourni le DP;NRUPDP;2;210;211;;;;;;;
RSA;Diagnostic principal (DP) ;DP;6;212;217;;;;;;;
RSA;Diagnostic relié (DR) ;DR;6;218;223;;;;;;;
RSA;Nombre de diagnostics associés dans ce RSA ;NDA;4;224;227;;;;;;;
RSA;Nombre de zones d'actes dans ce RSA ;NZA;5;228;232;;;;;;;
RSA;Filler ;FI233;15;233;247;;;;;;;
AG;Type d'autorisation à portée globale valide n° x;APGV;2;248;249;;;;;;;
SR;Zone de suppléments de radiothérapie n° x :  Code du supplément (n° GHS) ;CDSUPPL;4;;;;;;;;;
SR;Zone de suppléments de radiothérapie n° x : Nombre de suppléments ;NBSUPPL;3;;;;;;;;;
RU;RUM x : Numéro séquentiel du RUM;NRUM;2;;;;;;;;;
RU;RUM x : Numéro séquentiel de l'UM ;NSUM;4;;;;;;;;;
RU;RUM x : Numéro FINESS géographique ;FGEO;9;;;;;;;;;
RU;RUM x : DP ;DP;6;;;;;;;;;
