Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSFA;Type d'enregistrement;TENR;1;1;1;O;A;A;NA/NA;NA -  - Valeur=A;;
RSFA;Numéro FINESS d’inscription ePMSI;FINESS;9;2;10;O;A;A;NA/NA;RSS non groupé -  - ;;
RSFA;Numéro FINESS géographique;FINESG;9;11;19;O;A;A;NA/NA; -  - ;;
RSFA;Sexe;SEXE;1;20;20;O;A;A;NA/NA;RSS non groupé -  - ;;
RSFA;Code civilité;CCIV;1;21;21;O;N;N;NA/NA;Type 2B - 40 - Recodage : M=1/MME=2:MLE=2/SAN=3;;
RSFA;N° immatriculation assuré;NIA;13;22;34;F;A;A;Gauche/Espace;Type 2 CP - 12 - ;;
RSFA;Clé du n° immatriculation;CNI;2;35;36;F;A;A;NA/NA;Type 2 CP - 25 - ;;
RSFA;Rang de bénéficiaire;RGB;3;37;39;F;A;A;NA/NA;Type 2 CP - 27 - ;;
RSFA;N° d'entrée;NENT;9;40;48;F;A;A;NA/NA;Type 2 CP - 40 - ;;
RSFA;N° immatriculation individuel;NII;13;49;61;F;A;A;Gauche/Espace;Type 2S CP - 50 - A renseigner si l’information est présente sur la carte Vitale, l’attestation de droits ou la prise en charge;;
RSFA;Clé du n° immatriculation individuel;CNII;2;62;63;F;A;A;NA/NA;Type 2S CP - 63 - A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5 de la norme B2;;
RSFA;Indicateur du parcours de soins;IPS;1;64;64;F;A;A;NA/NA;Type 2S CP - 121 - Valeurs acceptées {' ', A, B, D, H, J, M, N, O, R, S, T, U};;
RSFA;Nature opération;NOP;1;65;65;F;A;A;NA/NA;Type 2 CP - 39 - ;;
RSFA;Nature assurance;NAS;2;66;67;F;A;A;NA/NA;Type 2 CP - 77 - Valeurs acceptées {10, 13, 30, 41, 90};;
RSFA;Type de contrat souscrit auprès d'un organisme complémentaire;TCOC;2;68;69;F;A;A;NA/NA;Type 2 CP - 117 - ;;
RSFA;Justification d'exonération du TM;JETM;1;70;70;F;A;A;NA/NA;Type 2 CP - 79 - ;;
RSFA;Séjour facturable à l'assurance maladie;SFA;1;71;71;O;A;A;NA/NA;Note n°1 -  - Valeurs acceptées {0, 1, 2, 3};;
RSFA;Filler;F72;1;72;72;F;A;A;NA/NA; -  - ;;
RSFA;Motif de non facturation à l’assurance maladie;MNFAM;1;73;73;F;N;N;Droite/Zéro;Note n°2  -  - Valeurs acceptées {' ', 1, 2, 3, 4, 5, 6, 9};;
RSFA;Code Gd régime;CGR;2;74;75;F;A;A;NA/NA;Type 2 CP - 49 - Valeurs acceptées {' ', 10, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 14, 15, 16, 17, 80 ,90 ,91, 92, 93, 94, 95, 96, 99};;
RSFA;Date Naissance;DNAIS;8;76;83;O;N;D;NA/NA;Type 2 CP - 96 - Modification liée au format de la date (JJMMAAAA);;
RSFA;Rang de naissance;RNAIS;1;84;84;F;A;A;NA/NA;Type 2 CP - 102 - ;;
RSFA;Date d'entrée;DENT;8;85;92;O;N;D;NA/NA;Type 2 CP - 103 - Modification liée au format de la date (JJMMAAAA);;
RSFA;Date de sortie;DSOR;8;93;100;F;N;D;NA/NA;Type 2 CP - 109 - Modification liée au format de la date (JJMMAAAA);;
RSFA;Code postal du lieu de résidence du patient;CPLR;5;101;105;F;A;A;NA/NA;Type 2C - 91 - ;;
RSFA;Total Base Remboursement Prestation hospitalière;TBRPH;8;106;113;F;N;N;Droite/Zéro;Type 5 CP - 42 - Total des lignes de type 3 (RSF B et P) : 6+2;;6+2
RSFA;Total remboursable AMO Prestation hospitalières;TRAPH;8;114;121;F;N;N;Droite/Zéro;Type 5 CP - 50 - Id 6+2;;6+2
RSFA;Total honoraire Facturé;THFACT;8;122;129;F;N;N;Droite/Zéro;Type 5 CP - 58 - Total des lignes de type 4 (RSF C et M) 6+2;;6+2
