Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSFB;Type d'enregistrement;TENR;1;1;1;O;A;A;Gauche/Espace;na - na - Valeur=B;;
RSFB;Numéro FINESS d’inscription ePMSI;FINESS;9;2;10;O;A;A;Gauche/Espace;Finess PMSI permettant la transmission sur e-PMSI;;
RSFB;Numéro FINESS géographique;FINESG;9;11;19;O;A;A;Gauche/Espace;Finess géographique rattaché au finess PMSI;;
RSFB;N° immatriculation assuré;NIA;13;20;32;O;A;A;Gauche/Espace;Type 2 CP - 12;;
RSFB;Clé du n° immatriculation;CNI;2;33;34;O;N;N;NA/NA;Type 2 CP - 25;;
RSFB;Rang de bénéficiaire;RGB;3;35;37;F;N;N;Droite/Zéro;Type 2 CP - 27 - Valeur 000 pour le régime général. A prendre sur l’attestation de droits ou la prise en charge pour autres régimes si présent;;
RSFB;N° d’entrée;NENT;9;38;46;O;N;N;Droite/Zéro;Type 2 CP - 40 - N° attribué par l'établissement;;
RSFB;N° immatriculation individuel;NII;13;47;59;F;A;A;Gauche/Espace;Type 2 CP - 50 - A renseigner si l’information est présente sur la carte Vitale, l’attestation de droits ou la prise en charge.;;
RSFB;Clé du n° immatriculation individuel;CNII;2;60;61;F;N;N;Droite/Zéro;Type 2 CP - 63 - A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5 de la norme B2;;
RSFB;Mode de traitement;MTT;2;62;63;F;N;N;Droite/Zéro;Type 3 CP - 39;;
RSFB;Discipline de prestation (ex DMT);DPR;3;64;66;F;N;N;Droite/Zéro;Type 3 CP - 41;;
RSFB;Justification exo TM;JETM;1;67;67;F;A;A;Gauche/Espace;Type 3 CP - 64;;
RSFB;Spécialité exécutant;SPEX;2;68;69;F;A;A;Gauche/Espace;na - na - Blancs;;
RSFB;Date des soins;DSOI;8;70;77;O;N;D;Gauche/Espace;Type 3 CP - 44 - ATTENTION : format différent de la norme B2 (8 car. demandé contre 6 car. norme B2)M - odification liée au format de la date (JJMMAAAA);;
RSFB;Code acte;CACT;5;78;82;O;A;A;Gauche/Espace;Type 3 CP - 56 - 4+1;;4+1
RSFB;Quantité;QTE;3;83;85;O;N;N;Droite/Zéro;Type 3 CP - 61 - Compléter par « 0 » devant;;
RSFB;Coefficient;COEF;6;86;91;F;A;A;Droite/Zéro;Type 3 CP - 65 - 4+2. Attention format différent par rapport à la norme B2 (3+2): compléter par 0 devant;;4+2
RSFB;Type de prestation intermédiaire;TPI;1;92;92;O;A;A;NA/NA;Note 1: Valeurs acceptées {1, 2, 3,4 };;
RSFB;Coefficient MCO;CMCO;5;93;97;F;N;N;Gauche/Espace;Type 3 CP - 71 - 1+4 changement position;;1+4
RSFB;Filler;F98;2;98;99;F;A;A;Gauche/Espace;;;
RSFB;Prix Unitaire;PU;7;100;106;O;N;N;Droite/Zéro;Type 3 CP - 76 - 5+2;;5+2
RSFB;Montant Base remboursement;MBR;8;107;114;O;N;N;Droite/Zéro;Type 3 CP - 83 - 6+2;;6+2
RSFB;Taux applicable à la prestation;TXAP;3;115;117;O;N;N;Droite/Zéro;Type 3 CP - 91;;
RSFB;Montant Remboursable par la caisse (AMO);MRAMO;8;118;125;O;N;N;Droite/Zéro;Type 3 CP - 94 - 6+2;;6+2
RSFB;Montant des honoraire (dépassement compris) ou Montant total de la dépense pour PH;MHOT;8;126;133;O;N;N;Droite/Zéro;Type 3 CP - 102 - 6+2 - Montant total de la dépense, dépassement compris (chambre particulière...);;6+2
RSFB;Montant remboursable par l'organisme complémentaire (AMC);MRAMC;7;134;140;F;N;N;Droite/Zéro;Type 3 CP - 122 - 5+2;;5+2
RSFB;Filler;F141;15;141;155;F;A;A;Gauche/Espace;;;
RSFB;Numéro facture;NFACT;9;156;164;O;N;N;Droite/Zéro;Type 2 CP 30 - N° attribué par le partenaire de santé. Il ne doit pas y avoir de N° en double, durant la période à déterminer avec l'assurance maladie. Le numéro de la facture doit etre différent de zéro. ;;
S:;MONO;;;;;;;;;;;
