Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSFH;Type d'enregistrement;TENR;1;1;1;O;A;A;NA/NA;NA Valeur=H;;
RSFH;Numéro FINESS d’inscription ePMSI;FINESS;9;2;10;O;A;A;NA/NA;RSS non groupé 1 - Finess PMSI permettant la transmission sur e-PMSI;;
RSFH;Numéro FINESS géographique;FINESG;9;11;19;O;A;A;NA/NA;Finess géographique rattaché au finess PMSI;;
RSFH;N° immatriculation assuré;NIA;13;20;32;O;A;A;NA/NA;Type 2 CP 12;;
RSFH;Clé du n° immatriculation;CNI;2;33;34;O;N;N;Droite/Zéro;Type 2 CP 25;;
RSFH;Rang de bénéficiaire;RGB;3;35;37;F;N;N;Droite/Zéro;Type 2 CP 27 - Valeur 000 pour le régime général. A prendre sur l’attestation de droits ou la prise en charge pour autres régimes si présent;;
RSFH;N° d'entrée;NENT;9;38;46;O;N;N;Droite/Zéro;Type 2 CP 40 - N° attribué par l'établissement;;
RSFH;N° immatriculation individuel;NII;13;47;59;C;A;A;NA/NA;Type 2S CP 50 A renseigner si l’information est présente sur la carte Vitale, l’attestation de droits ou la prise en charge.;;
RSFH;Clé du n° immatriculation individuel;CNII;2;60;61;C;N;N;Droite/Zéro;Type 2S CP 63 A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5 de la norme B2;;
RSFH;Date de début de séjour;DDSEJ;8;62;69;O;N;D;Droite/Zéro;Type 3 CP 44 Modification liée au format de la date (JJMMAAAA) - ATTENTION : format différent de la norme B2 (8 car. demandé contre 6 car. norme B2);;JJMMAAAA
RSFH;Code UCD;CUCD;7;70;76;O;N;N;Gauche/Espace;Type 3H 49 - Code UCD associé à une nature de prestation PH8, pour les médicaments délivrables en sus du GHS;;
RSFH;Coefficient de fractionnement;COEFF;5;77;81;O;N;N;NA/NA;Type 3H 57 1+4 (10000 par défaut);;1+4
RSFH;Prix d'achat unitaire TTC;PAU;7;82;88;O;N;N;Droite/Zéro;Type 3H 67 5+2;;5+2
RSFH;Montant unitaire de l'écart indemnisable;MUEI;7;89;95;F;N;N;Droite/Zéro;Type 3H 74 0 par défaut (5+2);;5+2
RSFH;Montant total de l'écart indemnisable;MTEI;7;96;102;F;N;N;Droite/Zéro;Type 3H 81 5+2;;5+2
RSFH;Quantité;QTE;3;103;105;O;N;N;Droite/Zéro;Type 3H 88 Nombre d'unités délivrées, par défaut égal à 1 - Compléter par « 0 » devant;;
RSFH;Montant total facturé TTC;MTF;7;106;112;O;N;N;Droite/Zéro;Type 3H 91 0 par défaut (5+2);;5+2
RSFH;Indication;INDIC;7;113;119;O;A;A;NA/NA;Liste des codes indications;;
RSFH;Numéro facture;NFACT;9;120;128;O;N;N;Droite/Zéro;Type 2 CP 30 - N° attribué par le partenaire de santé. Il ne doit pas y avoir de N° en double, durant la période à déterminer avec l'assurance maladie. Le numéro de la facture doit etre différent de zéro. ;;
S:;MONO;;;;;;;;;;;
