Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSFM;Type d'enregistrement;TENR;1;1;1;O;A;A;NA/NA;na Valeur=M;;
RSFM;Numéro FINESS d’inscription ePMSI;FINESS;9;2;10;O;A;A;NA/NA;RSS non groupé - Finess PMSI permettant la transmission sur e-PMSI;;
RSFM;Numéro FINESS géographique;FINESG;9;11;19;O;A;A;NA/NA;Finess géographique rattaché au finess PMSI;;
RSFM;N° immatriculation assuré;NIA;13;20;32;O;A;A;NA/NA;Type 2 CP 12;;
RSFM;Clé du n° immatriculation;CNI;2;33;34;O;N;N;NA/NA;Type 2 CP 25;;
RSFM;Rang de bénéficiaire;RGB;3;35;37;F;N;N;NA/NA;Type 2 CP 27 - Valeur 000 pour le régime général. A prendre sur l’attestation de droits ou la prise en charge pour autres régimes si présent;;
RSFM;N° d’entrée;NENT;9;38;46;O;N;N;Droite/Zéro;Type 2 CP 40 - N° attribué par l'établissement;;
RSFM;N° immatriculation individuel;NII;13;47;59;C;A;A;NA/NA;Type 2S CP 50 A renseigner si l’information est présente sur la carte Vitale, l’attestation de droits ou la prise en charge.;;
RSFM;Clé du n° immatriculation individuel;CNII;2;60;61;C;N;N;NA/NA;Type 2S CP 63 A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5  de la norme B2;;
RSFM;Mode de traitement;MTT;2;62;63;F;N;N;Droite/Zéro;Type 4 39;;
RSFM;Discipline de prestation (ex DMT);DPR;3;64;66;F;N;N;NA/NA;Type 4 41;;
RSFM;Date de l'acte;DA;8;67;74;O;N;D;NA/NA;Type 4 70 Modification liée au format de la date (JJMMAAAA) - Date de l'acte ou de délivrance du médicament ATTENTION : format différent de la norme B2 (8 car. demandé contre 6 car. norme B2) ;;
RSFM;Code CCAM;CCAM;13;75;87;O;A;A;Gauche/Espace;Type 4 M 43 Code CCAM;;
