Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RSFP;Type d'enregistrement;TENR;1;1;1;O;A;A;NA/NA;na Valeur=P;;
RSFP;Numéro FINESS d’inscription ePMSI;FINESS;9;2;10;O;A;A;NA/NA;Finess PMSI permettant la transmission sur e-PMSI;;
RSFP;Numéro FINESS géographique;FINESG;9;11;19;O;A;A;NA/NA;Finess géographique rattaché au finess PMSI;;
RSFP;N° immatriculation assuré;NIA;13;20;32;O;A;A;NA/NA;Type 2 CP 12;;
RSFP;Clé du n° immatriculation;CNI;2;33;34;O;N;N;NA/NA;Type 2 CP 25;;
RSFP;Rang de bénéficiaire;RGB;3;35;37;F;N;N;Droite/Zéro;Type 2 CP 27 - Valeur 000 pour le régime général. A prendre sur l’attestation de droits ou la prise en charge pour autres régimes si présent;;
RSFP;N° d'entrée;NENT;9;38;46;O;N;N;Droite/Zéro;Type 2 CP 40 Changement position dans le format - N° attribué par l'établissement;;
RSFP;N° immatriculation individuel;NII;13;47;59;C;A;A;Gauche/Espace;Type 2S CP 50 A renseigner si l’information est présente sur la carte Vitale, l’attestation de droits ou la prise en charge.;;
RSFP;Clé du n° immatriculation individuel;CNII;2;60;61;C;N;N;NA/NA;Type 2S CP 63 A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5 de la norme B2;;
RSFP;Date de début de séjour;DDSEJ;8;62;69;O;N;D;NA/NA;Type 3 CP 44 Attention format de date différent (JJMMAAAA) - ATTENTION : format différent de la norme B2 (8 car. demandé contre 6 car. norme B2);;
RSFP;Code référence LPP;CRLPP;13;70;82;O;A;A;Gauche/Espace;Type 3F 43 - Code de l'article de la LPP;;
RSFP;Quantité;QTE;2;83;84;O;N;N;Droite/Zéro;Type 3F 70 - Indiquer le nombre d'articles identiques;;
RSFP;Tarif référence LPP ou Prix Unitaire sur devis;TRLPP;7;85;91;O;N;N;Droite/Zéro;Type 3F 72 (5+2);;5+2
RSFP;Montant total facturé;MTF;7;92;98;O;N;N;Droite/Zéro;Type 3F 79 -0 par défaut (5+2);;5+2
RSFP;Prix d'achat unitaire;PAU;7;99;105;F;N;N;Droite/Zéro;Type 3F 86 (5+2);;5+2
RSFP;Montant unitaire de l'écart indemnisable;MUEI;7;106;112;F;N;N;Droite/Zéro;Type 3F 93 (5+2);;5+2
RSFP;Montant total de l'écart indemnisable;MTEI;7;113;119;F;N;N;Droite/Zéro;Type 3F 100 (5+2);;5+2
RSFP;Numéro de facture;NFACT;9;120;128;O;N;N;Droite/Zéro;Type 2 CP 30 - N° attribué par le partenaire de santé. Il ne doit pas y avoir de N° en double, durant la période à déterminer avec l'assurance maladie. Le numéro de la facture doit etre différent de zéro. ;;
S:;MONO;;;;;;;;;;;
