Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
RUM;Numéro FINESS d’inscription ePMSI;FINESS;9;1;9;O;A;A;NA/NA;;;
RUM;Version du format du RUM;VRUM;3;10;12;O;A;A;NA/NA;019;;
RUM;N° de RSS (Equivalent de HOSP-PMSI);NRSS;20;13;32;O;A;A;Gauche/Espace;;;
RUM;N° Administratif local de séjour  (Equivalent de HOSP-PMSI);NADL;20;33;52;O;A;A;Gauche/Espace;;;
RUM;N° de RUM;NRUM;10;53;62;O;A;A;Gauche/Espace;;;
RUM;Date de naissance;DNAIS;8;63;70;O;N;N;NA/NA;JJMMAAAA;;
RUM;Sexe;SEXE;1;71;71;O;A;A;NA/NA;1 : homme, 2 : femme;;
RUM;Numéro de l'unité médicale;NUM;4;72;75;O;A;A;Gauche/Espace;;;
RUM;Type d'autorisation du lit dédié;TALD;2;76;77;F;A;A;Droite/Zéro;;;
RUM;Date d'entrée dans l'unité médicale;DEUM;8;78;85;O;N;N;NA/NA;JJMMAAAA;;
RUM;Mode d'entrée dans l'unité médicale;MEUM;1;86;86;O;A;A;NA/NA;;;
RUM;Provenance (si mode d'entrée est mutation, transfert ou domicile);PROV;1;87;87;F;A;A;NA/NA;;;
RUM;Date de sortie de l'unité médicale;DSUM;8;88;95;O;N;N;NA/NA;JJMMAAAA;;
RUM;Mode de sortie de l'unité médicale;MSUM;1;96;96;O;A;A;NA/NA;;;
RUM;Destination (si mode de sortie est mutation, transfert ou domicile);DEST;1;97;97;F;A;A;NA/NA;;;
RUM;Code postal de résidence (ou 99 suivi du code Insee du pays pour les patients résidant hors de France);CPRE;5;98;102;O;A;A;Droite/Zéro;;;
RUM;Poids du nouveau-né à l'entrée de l'unité médicale (en grammes);PNNE;4;103;106;F;A;A;Droite/Zéro;;;
RUM;Age gestationnel;AGEG;2;107;108;F;A;A;Droite/Zéro;;;
RUM;Date des dernières règles;DDR;8;109;116;F;N;N;NA/NA;JJMMAAAA;;
RUM;Nombre de séances;NBSE;2;117;118;F;A;A;Droite/Zéro;;;
RUM;Nombre de diagnostics associés (nDA) dans ce RUM;NDA;2;119;120;O;N;N;Droite/Zéro;;DA;
RUM;Nombre de données à visée documentaire (nDAD) dans ce;NDAD;2;121;122;O;N;N;Droite/Zéro;;DAD;
RUM;Nombre de zone d'actes (nZA) dans ce RUM;NZA;3;123;125;O;N;N;Droite/Zéro;;ZA;
RUM;Diagnostic principal (DP);DP;8;126;133;O;A;A;Gauche/Espace;;;
RUM;Diagnostic relié (DR);DR;8;134;141;F;A;A;Gauche/Espace;;;
RUM;IGS 2;IGS2;3;142;144;F;A;A;Droite/Zéro;;;
RUM;Confirmation du codage du RSS;CCRS;1;145;145;F;A;A;NA/NA;1 : oui, 2 : non (cf. Note 1);;
RUM;Type de machine en radiothérapie;TYMA;1;146;146;F;A;A;NA/NA;cf. Note 2;;
RUM;Type de dosimétrie;TYDO;1;147;147;F;A;A;NA/NA;cf. Note 3;;
RUM;Numéro d'innovation;NUMI;15;148;162;F;A;A;Gauche/Espace;;;
RUM;Conversion hospitalisation complète;CONVHC;1;163;163;F;A;A;Gauche/Espace;1 : conversion après prise en charge en HP 2 : pas de conversion;;
RUM;Prise en charge RAAC;PECRAAC;1;164;164;F;A;A;Gauche/Espace;1 : prise en charge RAAC 2 : pas de prise en charge RAAC RAAC : récupération améliorée après chirurgie;;
RUM;Filler;FLR165;10;165;174;F;A;A;Droite/Zéro;;;
RUM;Zone réservée;RESER;3;175;177;F;A;A;NA/Espace;;;
DA;DA n° 1;TDA;8;178;185;F;A;A;Gauche/Espace;;;
DAD;DAD n° 1;TDAD;8;*;*;F;A;A;Gauche/Espace;;;
ZA;Date de réalisation;DR;8;*;*;F;N;N;NA/NA;JJMMAAAA Signalement si non renseigné ;;
ZA;Code CCAM;CCCA;7;*;*;O;A;A;NA/NA;;;
ZA;Extension PMSI;XPMSI;3;*;*;F;A;A;NA/NA;ATTENTION, l’extension est obligatoire lorsqu’elle Existe;;
ZA;Phase;PHAS;1;*;*;O;A;A;NA/NA;;;
ZA;Activité;ACTI;1;*;*;O;A;A;NA/NA;;;
ZA;Extension documentaire;XDOCU;1;*;*;F;A;A;NA/NA;;;
ZA;Modificateurs;MODIF;4;*;*;F;A;A;Gauche/Espace;;;
ZA;Remboursement exceptionnel;REXC;1;*;*;F;A;A;NA/NA;;;
ZA;Association non prévue;ASSNP;1;*;*;F;A;A;NA/NA;;;
ZA;Nombre de réalisations de l'acte n° nZA pendant le séjour;NREAL;2;*;*;O;A;A;Droite/Zéro;;;
S:;RSS1;;;;;;;;;;;
