Typ;Libellé;Nomc;Taille;Début;Fin;Obligatoire[1];Type[2];TypePref;Cadrage/Remplissage[3];Remarques;Compteur;Format
VH;N° immatriculation assuré ;NIA;13;1;13;O ;A;A;;A prendre sur l’attestation de droits, la carte Vitale ou la prise en charge. ;;
VH;Clé du N° immatriculation ;CNIA;2;14;15;O ;A;A;;A prendre sur l’attestation de droits, la carte Vitale ou la prise en charge.. Clé à contrôler après la saisie annexe 5 ;;
VH;Code Grand Régime ;CGR;2;16;17;O ;A;A;;A prendre sur l’attestation de droits, la carte Vitale ou la prise en charge. Voir codification annexe 2 ;;
VH;Code gestion ;CGES;2;18;19;O ;A;A;;Reporter l’information figurant dans la zone « régime obligatoire » de la carte vitale ;;
VH;Date de naissance du bénéficiaire ;DNAIS;8;20;27;O ;A;D;;Indiquer ici la date de naissance du bénéficiaire. ATTENTION format différent de B2 JJMMAAAA ;;
VH;Sexe du bénéficiaire ;SEXE;1;28;28;O ;A;A;;;;
VH;N° administratif de séjour ;NADL;20;29;48;O ;A;A;;;;
VH;N° format VID-HOSP ;NFVH;4;49;52;O ;A;A;;V013;;
VH;N° FINESS d’inscription e-PMSI ;FINESS;9;53;61;O ;A;A;;;;
VH;N° immatriculation individuel ;NIMI;13;62;74;F ;A;A;;A renseigner si l’information est présente sur la carte Vitale, l’attestation Clé à contrôler après la saisie, cf. annexe 5 de la norme B2 ;;
VH;Clé du N° immatriculation individuel ;CNIMI;2;75;76;F ;A;A;;A prendre sur le même support que le n° immatriculation. Clé à contrôler après la saisie, cf. annexe 5 de la norme B2 ;;
VH;Justification d’exonération ou de modulation du ticket modérateur ;JEMTM;1;77;77;O ;A;A;;Précise et justifie l’exonération ou la modulation du ticket modérateur appliqué aux soins facturés. Cf. codification annexe 9. Cette justification vaut pour la totalité de la facture, sauf indication contraire au niveau de la ligne dans le type 3 (position 64) ou le Type 4 (position 54) en Norme CP. ;;
VH;Code de prise en charge du forfait journalier ;CPCFJ;1;78;78;F ;A;A;;;;
VH;Nature d’assurance ;NATA;2;79;80;O ;A;A;;10 : maladie / 13 : maladie régime local Alsace-Moselle / 30 : maternité / 41 : accident du travail / 90 : prévention maladie ;;
VH;Type de contrat ;TYPC;2;81;82;F ;A;A;;Indiquer le type de contrat codification fournie par la caisse. 85 : sortants du dispositif CMUC (géré par un organisme obligatoire) 87 : sortants du dispositif CMUC (géré par un organisme complémentaire) 88 : aide à la mutualisation (panier de biens = panier CMUC) 89 : bénéficiaire de la CMU complémentaire (en cours), quel que soit le gestionnaire ;;
VH;Séjour facturable à l'assurance maladie ;SFAC;1;83;83;O ;A;A;;;;
VH;Motif de la non facturation à l'assurance maladie ;MNFAC;1;84;84;F ;A;A;;;;
VH;Facturation du 18 € ;FA18;1;85;85;O ;A;A;;Participation forfaitaire de 18€ en cas de réalisation d’actes coûteux au cours de la prise en charge ;;
VH;Nombre de venues de la facture ;NBVF;4;86;89;O ;A;A;;;;
VH;Montant à facturer au titre du TM ;MFTM;10;90;99;O ;A;A;;;;
VH;Montant à facturer au titre du FJ ;MFFJ;10;100;109;O ;A;A;;;;
VH;Montant total du séjour remboursable pour l'AMO (i.e. hors prestations annexes) ;MTSRO;10;110;119;O ;A;A;;;;
VH;Montant lié à la majoration au parcours de soins ;MMPS;4;120;123;O ;A;A;;;;
VH;Montant base remboursement ;MBR;10;124;133;O ;A;A;;;;
VH;Taux de remboursement ;TXR;5;134;138;O ;A;A;;;;
VH;Patient bénéficiaire de la CMU ;BCMU;1;139;139;F ;A;A;;0 : Non | 1 : Oui, laisser à vide si pas d'information ;;
VH;N° administratif de séjour de la mère ;NADLM;20;140;159;F ;A;A;;A renseigner pour tous les nouveau-nés dont la mère est hospitalisée dans l’établissement ;;
VH;Hospitalisation d'un nouveau-né auprès de la mère ;HNNM;1;160;160;F ;A;A;;1 pour oui laisser à vide sinon ;;
VH;Hospitalisation pour prélèvement d'organe ;HPO;1;161;161;F ;A;A;;1 pour oui laisser à vide sinon ;;
VH;Date de l’hospitalisation ;DTH;8;162;169;O ;A;D;;Date du début de l’hospitalisation quel que soit l’établissement (en cas de transfert par exemple). ATTENTION format différent de B2 JJMMAAAA ;;
VH;Montant total du séjour remboursable pour l'AMC ;MTSRC;10;170;179;O ;A;A;;Dans le cas d’un séjour normal, il doit correspondre au montant du reste à charge patient hors prestations annexes. Il doit être renseigné même si le patient n’a pas d’assurance complémentaire. ;;
VH;Code participation assuré ;CPA;1;180;180;F ;A;A;;;;
VH;N° d’entrée ;NENT;9;181;189;O ;A;A;;N° attribué par l’établissement ;;
VH;Rang de naissance ;RGN;1;190;190;F ;A;A;;;;
VH;Rang du bénéficiaire ;RGB;3;191;193;F ;A;A;;Valeur 000 pour le régime général. A prendre sur l’attestation de droits ou la prise en charge pour autres régimes si présent ;;
VH;N° caisse gestionnaire ;NCAG;3;194;196;O ;A;A;;A prendre sur l’attestation de droits, la carte Vitale ou la prise en charge. Voir codification annexe 3 ;;
VH;N° centre gestionnaire ;NCEG;4;197;200;O ;A;A;;A prendre sur l’attestation de droits, la carte Vitale ou la prise en charge. Pour le RSI : cadrage du numéro de centre à gauche, le 4ème caractère doit être renseigné par un 0 en position 57 ;;
VH;Filler ;FLR201;30;201;230;F ;A;A;;"Réservé pour usage futur ; ";;
VH;Confirmation de la prise en charge dans le cadre du dispositif des soins urgents ;CPECU;1;231;231;F ;A;A;;1 pour oui laisser à vide sinon ;;
